Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,No,2056,3638,352,360,1,Urban,Rejected
Male,Yes,0,Graduate,No,10517,749,166,180,0,Semiurban,Rejected
Female,No,3+,Graduate,No,4308,3427,173,180,1,Urban,Approved
Female,Yes,1,Graduate,No,6650,4780,330,360,1,Rural,Approved
Female,No,0,Graduate,Yes,14213,1927,341,120,1,Semiurban,Approved
Male,Yes,0,Graduate,No,9061,3804,252,360,1,Urban,Approved
Male,No,3+,Not Graduate,No,4219,3702,100,360,0,Urban,Rejected
Male,Yes,3+,Graduate,No,8006,2356,320,180,1,Rural,Approved
Male,No,2,Graduate,No,13200,4790,373,180,1,Rural,Approved
Male,No,0,Not Graduate,Yes,5241,2335,326,360,1,Rural,Approved
Male,No,2,Not Graduate,No,11266,306,190,360,1,Semiurban,Approved
Female,Yes,3+,Graduate,No,5498,7979,324,360,1,Urban,Approved
Male,No,3+,Graduate,No,11821,3665,339,180,1,Rural,Approved
Male,Yes,1,Graduate,No,3903,1989,383,360,0,Semiurban,Rejected
Male,No,0,Graduate,No,13021,7057,101,360,1,Semiurban,Approved
Female,Yes,2,Graduate,Yes,10280,7890,76,300,1,Semiurban,Approved
Male,No,3+,Graduate,No,11704,661,206,120,1,Rural,Approved
Male,Yes,3+,Graduate,Yes,11239,4644,288,240,1,Rural,Approved
Female,Yes,2,Graduate,No,1794,7519,205,120,1,Urban,Rejected
Male,No,1,Graduate,No,11677,311,340,300,0,Urban,Rejected
Male,Yes,3+,Graduate,No,6843,2920,185,240,0,Rural,Rejected
Male,Yes,0,Graduate,No,12809,1082,193,360,1,Semiurban,Approved
Male,No,3+,Graduate,No,11382,7810,155,300,1,Semiurban,Approved
Male,Yes,0,Graduate,No,2636,2971,207,360,1,Semiurban,Rejected
Female,Yes,2,Not Graduate,Yes,3564,5833,195,180,1,Urban,Approved
Female,Yes,0,Graduate,Yes,14147,754,51,300,1,Semiurban,Approved
Female,No,2,Graduate,No,8509,4130,126,180,0,Urban,Rejected
Male,Yes,0,Not Graduate,No,14487,4540,181,300,1,Urban,Approved
Male,No,2,Graduate,No,6043,6236,139,300,1,Semiurban,Approved
Male,Yes,0,Graduate,No,14462,6078,394,180,0,Semiurban,Rejected
Female,Yes,1,Graduate,No,2507,5326,399,240,1,Rural,Rejected
Male,Yes,0,Graduate,No,6945,352,312,120,1,Rural,Approved
Male,No,0,Not Graduate,No,12206,902,157,360,0,Semiurban,Rejected
Female,Yes,1,Graduate,No,13218,5451,123,300,1,Urban,Approved
Male,Yes,3+,Graduate,No,14373,3888,88,360,1,Urban,Approved
Female,No,3+,Graduate,No,6852,7005,208,180,0,Urban,Rejected
Female,Yes,0,Graduate,Yes,10939,5844,120,360,1,Urban,Approved
Female,No,1,Graduate,No,14781,158,361,180,1,Urban,Approved
Male,No,0,Graduate,No,13594,1977,290,360,1,Rural,Approved
Male,Yes,2,Graduate,Yes,2935,956,347,120,1,Semiurban,Rejected
Male,No,2,Not Graduate,No,2071,2071,85,120,1,Rural,Rejected
Male,Yes,0,Graduate,No,3882,403,133,120,1,Urban,Approved
Male,No,3+,Graduate,No,10937,6948,312,120,1,Urban,Approved
Male,No,3+,Graduate,No,11776,4611,359,120,0,Urban,Rejected
Male,Yes,0,Graduate,No,6584,2779,221,120,1,Urban,Approved
Female,No,0,Graduate,No,1777,1387,222,180,1,Semiurban,Rejected
Male,No,2,Graduate,No,8559,3453,96,300,1,Urban,Approved
Female,No,3+,Graduate,No,3387,6675,190,360,0,Semiurban,Rejected
Male,No,0,Graduate,No,14271,955,167,120,1,Urban,Approved
Male,No,2,Graduate,No,2765,6295,326,180,1,Semiurban,Rejected
Male,Yes,3+,Not Graduate,No,8991,7729,263,180,1,Rural,Approved
Female,No,1,Graduate,No,14518,1712,269,180,0,Urban,Rejected
Female,Yes,2,Graduate,No,2540,7090,75,300,1,Semiurban,Rejected
Female,No,3+,Graduate,Yes,10609,4703,58,360,1,Rural,Approved
Female,Yes,3+,Not Graduate,No,9573,7784,320,300,1,Urban,Approved
Male,Yes,2,Graduate,No,10577,6563,59,240,1,Urban,Approved
Female,No,1,Graduate,Yes,4252,1273,170,180,1,Urban,Approved
Male,No,2,Not Graduate,No,9713,7284,174,240,1,Semiurban,Approved
Male,No,3+,Not Graduate,No,6069,7009,219,120,1,Semiurban,Approved
Female,Yes,0,Not Graduate,No,12883,5631,121,120,1,Rural,Approved
Female,No,0,Graduate,No,7853,3811,201,300,1,Semiurban,Approved
Female,Yes,2,Graduate,Yes,3853,2625,257,360,1,Semiurban,Approved
Female,Yes,3+,Graduate,Yes,8937,2382,98,240,1,Urban,Approved
Female,Yes,0,Not Graduate,No,6299,1441,203,360,0,Urban,Rejected
Female,No,3+,Graduate,No,2186,2979,396,300,0,Urban,Rejected
Female,No,2,Graduate,No,9976,1797,342,120,1,Urban,Approved
Female,Yes,0,Graduate,No,6311,4390,117,360,1,Urban,Approved
Male,Yes,3+,Not Graduate,No,13439,4009,99,360,1,Urban,Approved
Female,No,0,Graduate,No,10454,4850,201,120,1,Urban,Approved
Female,Yes,2,Graduate,No,6846,1394,68,240,0,Rural,Rejected
Male,No,3+,Graduate,No,6543,4281,149,120,1,Rural,Approved
Female,Yes,0,Graduate,No,3928,1269,109,360,1,Rural,Approved
Male,No,2,Graduate,No,12199,4732,216,240,1,Rural,Approved
Male,Yes,0,Graduate,No,6626,5387,251,240,1,Urban,Approved
Female,No,0,Graduate,Yes,9720,3714,394,120,1,Rural,Approved
Male,Yes,1,Graduate,No,10598,7404,195,360,1,Urban,Approved
Male,No,1,Graduate,Yes,12796,529,213,300,1,Rural,Approved
Male,No,2,Graduate,No,9313,3623,291,360,1,Semiurban,Approved
Male,Yes,1,Graduate,No,13691,6164,118,180,1,Rural,Approved
Female,Yes,2,Graduate,No,12686,2958,224,300,1,Rural,Approved
Male,No,1,Graduate,No,12198,7904,98,240,1,Urban,Approved
Female,Yes,0,Graduate,No,14357,2914,157,300,1,Rural,Approved
Male,No,2,Graduate,No,13301,4889,275,240,1,Semiurban,Approved
Male,Yes,2,Graduate,No,13245,3591,210,240,1,Urban,Approved
Male,No,0,Not Graduate,No,11145,2147,168,300,1,Urban,Approved
Male,No,2,Graduate,No,14525,6895,198,240,0,Rural,Rejected
Female,No,2,Not Graduate,No,4856,4573,199,240,1,Urban,Approved
Female,No,1,Graduate,No,10207,5718,342,180,1,Urban,Approved
Male,No,2,Graduate,No,8766,3369,192,360,1,Urban,Approved
Male,No,3+,Not Graduate,No,8040,939,209,360,1,Urban,Approved
Female,Yes,0,Graduate,No,1538,525,60,180,1,Urban,Rejected
Male,Yes,1,Graduate,No,4842,6477,187,300,1,Urban,Approved
Male,Yes,1,Graduate,Yes,10578,1,127,120,1,Semiurban,Approved
Male,No,3+,Graduate,No,4344,374,126,120,0,Rural,Rejected
Female,No,0,Not Graduate,No,11896,2340,303,120,1,Semiurban,Approved
Female,No,0,Not Graduate,No,2598,6980,307,180,0,Urban,Rejected
Female,No,1,Not Graduate,No,8527,4005,369,180,1,Urban,Approved
Male,Yes,2,Graduate,No,3323,3052,340,240,1,Rural,Approved
Male,Yes,1,Not Graduate,Yes,12893,4648,312,120,0,Semiurban,Rejected
Female,No,0,Not Graduate,No,14761,2365,134,300,1,Rural,Approved
Female,Yes,3+,Graduate,No,4655,1525,195,300,1,Semiurban,Approved
Female,Yes,1,Graduate,No,4593,5947,372,120,0,Urban,Rejected
Female,No,0,Not Graduate,No,13222,4476,91,120,1,Rural,Approved
Male,Yes,1,Graduate,No,7158,1646,174,120,1,Rural,Approved
Female,No,2,Not Graduate,No,5278,13,216,180,1,Urban,Approved
Male,Yes,1,Graduate,No,4396,4599,290,180,1,Rural,Approved
Female,No,1,Not Graduate,No,13145,2278,329,180,1,Semiurban,Approved
Male,No,0,Graduate,No,13203,6104,237,360,1,Semiurban,Approved
Female,No,0,Graduate,No,2488,3155,351,300,1,Semiurban,Rejected
Female,No,0,Graduate,Yes,5616,129,68,300,1,Semiurban,Approved
Female,Yes,1,Not Graduate,No,7946,3814,117,240,0,Urban,Rejected
Female,No,2,Graduate,No,14656,4933,267,180,1,Rural,Approved
Male,No,3+,Graduate,Yes,13718,3216,151,360,1,Semiurban,Approved
Female,No,3+,Graduate,Yes,5679,2938,91,360,0,Urban,Rejected
Male,Yes,0,Not Graduate,No,3182,3928,337,300,0,Rural,Rejected
Male,No,0,Graduate,No,7126,2040,216,180,1,Rural,Approved
Male,Yes,1,Not Graduate,No,8924,27,158,240,1,Urban,Approved
Male,No,3+,Graduate,Yes,14357,2113,85,180,1,Urban,Approved
Female,Yes,0,Graduate,No,13655,7330,281,120,1,Semiurban,Approved
Male,Yes,2,Graduate,No,2433,1252,278,180,0,Rural,Rejected
Male,No,2,Graduate,No,5098,4356,213,120,1,Rural,Approved
Male,Yes,0,Not Graduate,No,12925,2046,122,120,0,Urban,Rejected
Female,No,0,Graduate,No,3480,5568,185,240,1,Rural,Approved
Female,No,3+,Graduate,No,11547,5543,119,300,1,Semiurban,Approved
Female,No,3+,Not Graduate,No,4556,4555,245,180,1,Rural,Approved
Female,Yes,1,Graduate,No,10484,4023,318,120,1,Urban,Approved
Male,Yes,3+,Graduate,Yes,2291,7843,98,180,1,Urban,Rejected
Male,No,2,Not Graduate,No,11501,4396,365,300,1,Semiurban,Approved
Female,No,2,Graduate,Yes,6890,7062,179,300,1,Semiurban,Approved
